notice_id,source_board,title,category,posted_date,notice_url,content
67,SW중심대학사업단 공지사항,[안내] 디지털라이프케어서비스 교과목 교재개발 안내,학사,2025-12-15,https://swuniv.hs.ac.kr/07_01,
68,SW중심대학사업단 공지사항,[홍보] LG Aimers 8기 모집 안내 (기한: ~12/18),행사,2025-12-12,https://swuniv.hs.ac.kr/07_01,
69,SW중심대학사업단 공지사항,[공지] AI GPU 서버 활용 방법 설명회 안내(교원 및 대학원 대상),학사,2025-12-08,https://swuniv.hs.ac.kr/07_01,
70,SW중심대학사업단 공지사항,[공지] 2025-2학기 SW융합/특화전공 장학금 신청 안내 (일정 변경),장학,2025-12-04,https://swuniv.hs.ac.kr/07_01,
71,SW중심대학사업단 공지사항,[공지] 2025년도 2학기 SW포인트(소중한 포인트) 신청 안내(기한: ~12/11까지),장학,2025-12-04,https://swuniv.hs.ac.kr/07_01,
72,SW중심대학사업단 공지사항,[공지] 특화전공 설명회 안내(12/3),학사,2025-11-27,https://swuniv.hs.ac.kr/07_01,
73,SW중심대학사업단 공지사항,[공지] 2025 한신 AI·SW 페스티벌 수상자 및 상장 수령 안내,학사,2025-11-26,https://swuniv.hs.ac.kr/07_01,
74,SW중심대학사업단 공지사항,[공지] 2026-1학기 융합/특화전공 신청 안내,학사,2025-11-16,https://swuniv.hs.ac.kr/07_01,
75,SW중심대학사업단 공지사항,[공지] 2025 한신 AI·SW 페스티벌 시상식 참석자 안내,학사,2025-11-13,https://swuniv.hs.ac.kr/07_01,
76,SW중심대학사업단 공지사항,[공지] 2025 한신 AI·SW 페스티벌 경진대회 발표 심사 안내,학사,2025-11-12,https://swuniv.hs.ac.kr/07_01,
77,SW중심대학사업단 공지사항,[공지] 특화전공 2025학년도 겨울계절학기 개설 교과목 안내,학사,2025-11-12,https://swuniv.hs.ac.kr/07_01,
78,SW중심대학사업단 공지사항,"2025 SW인재페스티벌 안내 (11/27~28, 서울 용산 드래곤시티 3층)",행사,2025-11-10,https://swuniv.hs.ac.kr/07_01,
79,SW중심대학사업단 공지사항,[긴급공지] 기업탐방 프로그램 스마일게이트 추가인원 모집 (2명 선착순),학사,2025-11-06,https://swuniv.hs.ac.kr/07_01,
80,SW중심대학사업단 공지사항,[공지] 2025년도 SW중심대학사업 2026 CES 참관 합격자 안내,학사,2025-11-05,https://swuniv.hs.ac.kr/07_01,
81,SW중심대학사업단 공지사항,[안내] 2025 한신 AI·SW페스티벌 행사에 초대합니다(11/18~19),학사,2025-11-03,https://swuniv.hs.ac.kr/07_01,
82,SW중심대학사업단 공지사항,[공지] AI·SW 창업아이디어 경진대회 2차 합격자 발표,학사,2025-11-03,https://swuniv.hs.ac.kr/07_01,
83,SW중심대학사업단 공지사항,[공지] AI·SW 일반 경진대회 1차 합격자 발표,학사,2025-11-03,https://swuniv.hs.ac.kr/07_01,
84,SW중심대학사업단 공지사항,[공지] AI·SW 창업아이디어 경진대회 1차 합격자 발표,학사,2025-10-27,https://swuniv.hs.ac.kr/07_01,
85,SW중심대학사업단 공지사항,[홍보] 경기대 SW전공교수 TOPCIT 릴레이 특강,행사,2025-10-21,https://swuniv.hs.ac.kr/07_01,
86,SW중심대학사업단 공지사항,"[홍보] AI 시대, SW 엔지니어의 글로벌 취·창업 전략 참가자모집 (~10/24)",행사,2025-10-21,https://swuniv.hs.ac.kr/07_01,
87,SW중심대학사업단 공지사항,[홍보] 제27회 아이디어 유니버시아드 대회 (기한:~11/4까지예선접수),행사,2025-10-21,https://swuniv.hs.ac.kr/07_01,
88,SW중심대학사업단 공지사항,[홍보] [경기글로벌게임센터] AI를 활용한 게임 개발 실무 교육 과정(11/4),행사,2025-10-20,https://swuniv.hs.ac.kr/07_01,
89,SW중심대학사업단 공지사항,[모집] 2025-2학기 노트북 대여 안내(2차),학사,2025-10-20,https://swuniv.hs.ac.kr/07_01,
90,SW중심대학사업단 공지사항,[공지] SW해외연수 프로그램 2026 CES참관 참가자 모집,학사,2025-10-17,https://swuniv.hs.ac.kr/07_01,
91,SW중심대학사업단 공지사항,[홍보] AI 모의 면접 관련 설명회 및 사전 신청 공지,행사,2025-10-16,https://swuniv.hs.ac.kr/07_01,
92,SW중심대학사업단 공지사항,"[공지] AI·SW 캡스톤디자인 경진대회 참가학생 접수번호, 과제번호 공유",학사,2025-10-16,https://swuniv.hs.ac.kr/07_01,
93,SW중심대학사업단 공지사항,[홍보] SW중심대학과 함께하는 오픈소스 특강 안내_삼성전자 박수홍 오픈소스그룹장,행사,2025-10-14,https://swuniv.hs.ac.kr/07_01,
94,SW중심대학사업단 공지사항,[공지] 2025 강촌 캡스톤디자인 및 AI해커톤대회 참여자 선발 명단,학사,2025-10-14,https://swuniv.hs.ac.kr/07_01,
95,SW중심대학사업단 공지사항,"[수요조사] [기업탐방]스마일게이트xDDP(2025. 12. 5., 판교) (기한: 10/15 오전 10시까지)",학사,2025-10-02,https://swuniv.hs.ac.kr/07_01,
96,SW중심대학사업단 공지사항,[AI·SW페스티벌] 휴먼서비스대학 AI·SW 개발 공모 일반 경진대회 참가자 모집,학사,2025-10-01,https://swuniv.hs.ac.kr/07_01,
97,SW중심대학사업단 공지사항,[소중협] 2025 SW중심대학 에세이 공모전 안내 (응모기간 : 10. 1.~10. 14.),학사,2025-09-30,https://swuniv.hs.ac.kr/07_01,
98,SW중심대학사업단 공지사항,[공지] 오픈소스 SW 동아리 선발자,학사,2025-09-30,https://swuniv.hs.ac.kr/07_01,
99,SW중심대학사업단 공지사항,[공지] 2025 SUMTECH해커톤 선발 명단,학사,2025-09-24,https://swuniv.hs.ac.kr/07_01,
100,SW중심대학사업단 공지사항,[공지] 5개대학연합 2025 캡스톤디자인 및 AI 해커톤 참여자 모집(~10/13까지 기한 연장),학사,2025-09-03,https://swuniv.hs.ac.kr/07_01,
101,SW중심대학사업단 공지사항,[홍보] 2025학년도 AI·SW취업특강 신청자모집 (점심식사제공)_모의면접진행 안내,행사,2025-09-22,https://swuniv.hs.ac.kr/07_01,
102,SW중심대학사업단 공지사항,[AI·SW페스티벌] AI아트코딩 공모전 참가자 모집,학사,2025-09-22,https://swuniv.hs.ac.kr/07_01,
103,SW중심대학사업단 공지사항,[추가모집] 2025년 하반기 제24회 TOPCIT 정기평가 접수 안내 (~9/24),학사,2025-09-22,https://swuniv.hs.ac.kr/07_01,
104,SW중심대학사업단 공지사항,[SW중심대학사업] 2025-2학기 노트북 대여 안내(2차),학사,2025-09-16,https://swuniv.hs.ac.kr/07_01,
105,SW중심대학사업단 공지사항,[AI·SW페스티벌] AI·SW 개발 공모 캡스톤디자인 경진대회 참가자 모집,학사,2025-09-15,https://swuniv.hs.ac.kr/07_01,
106,SW중심대학사업단 공지사항,[AI·SW페스티벌] AI·SW 개발 공모 일반 경진대회 참가자 모집,학사,2025-09-15,https://swuniv.hs.ac.kr/07_01,
