course_id,course_code,course_name,credit,theory_hours,practice_hours,course_description,source_url
178,TT218,목회실습Ⅳ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
179,TT509,목회실습,1.0,1.0,0.0,목회실습 미수강자를 위한 과목입니다.(대체과제 필수),https://sugang.hs.ac.kr/course/subject/list
180,HC600,HSK5급Ⅰ,2.0,2.0,0.0,중국어문전공과목,https://sugang.hs.ac.kr/course/subject/list
181,HI340,유라시아외교론,3.0,3.0,0.0,외국인 유학생 전용 강의,https://sugang.hs.ac.kr/course/subject/list
182,TR371,재활윤리와철학,3.0,3.0,0.0,"전공필수과목// 발달재활서비스 공통선택 과목, 장애인재활상담사 선택과목",https://sugang.hs.ac.kr/course/subject/list
183,HI428,사회과학분석기법,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
184,EB412,졸업논문,3.0,3.0,0.0,전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
185,SP419,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
186,HE412,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
187,NE419,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
188,NA419,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
189,PSB01,졸업논문,3.0,3.0,0.0,정책학 전공 졸업예정자 신청(행정학/정책학 복수 전공 시 졸업논문 2개 모두 신청),https://sugang.hs.ac.kr/course/subject/list
190,NI400,졸업논문,3.0,3.0,0.0,소프트웨어융합학부,https://sugang.hs.ac.kr/course/subject/list
191,NP419,졸업논문,3.0,3.0,0.0,8월 졸업예정자 중 미수강한 학생은 필히 수강. 학점 미포함되므로 고려하여 수강 신청할 것. // 전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
192,EI411,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
193,DC419,졸업논문,3.0,3.0,0.0,한중문화콘텐츠학과 전공,https://sugang.hs.ac.kr/course/subject/list
194,TT320,목회실습V,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
195,TT153,신앙수련회Ⅳ,1.0,1.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
196,NP427,특수체육현장실습,1.0,1.0,0.0,"2학기에 열리지 않으므로 4학년은 필히 수강할 것, 실습 완료 시 이수 가능 // 전공(복수포함)자",https://sugang.hs.ac.kr/course/subject/list
197,NM450,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
198,EZ419,졸업논문,3.0,3.0,0.0,전공(복수포함)자 // 전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
199,TS419,졸업논문,3.0,3.0,0.0,전공(복수포함)자만 수강신청 가능// 졸업기준 충족(수강신청 학기 포함하여 학점 및 필수과목 이수 등)시 수강신청 가능 // 전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
200,PSA01,졸업논문,3.0,3.0,0.0,행정학 전공 졸업예정자 신청(행정학/정책학 복수 전공 시 졸업논문 2개 모두 신청),https://sugang.hs.ac.kr/course/subject/list
201,EJ419,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
202,DS403,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
203,EE411,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
204,HN419,졸업논문,3.0,3.0,0.0,마지막 학기생 신청,https://sugang.hs.ac.kr/course/subject/list
205,SB419,졸업논문,3.0,3.0,0.0,임상 및 상담심리 전공생 수강 // 전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
206,HI419,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
207,NP401,스포츠사회학,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
208,HH411,졸업논문,3.0,3.0,0.0,전공(복수포함)자,https://sugang.hs.ac.kr/course/subject/list
209,EK419,졸업논문,3.0,3.0,0.0, ,https://sugang.hs.ac.kr/course/subject/list
