schedule_id,offering_id,day_of_week,start_time,end_time,classroom
4463,4339,월,13:00:00,14:15:00,20502
4464,4339,수,13:00:00,14:15:00,20502
4465,4340,화,09:30:00,10:45:00,20502
4466,4340,목,11:00:00,12:15:00,20502
4467,4341,월,09:30:00,10:45:00,20506
4468,4341,수,11:00:00,12:15:00,20506
4469,4342,월,11:00:00,12:15:00,20506
4470,4342,수,09:30:00,10:45:00,20506
4471,4343,월,13:00:00,14:15:00,20506
4472,4343,수,13:00:00,14:15:00,20506
4473,4344,월,14:30:00,15:45:00,20506
4474,4344,수,14:30:00,15:45:00,20506
4475,4345,월,13:00:00,14:15:00,18418
4476,4345,수,13:00:00,14:15:00,18418
4477,4347,화,13:00:00,14:15:00,18523
4478,4347,화,14:30:00,15:45:00,18523
4479,4348,목,16:00:00,17:15:00,18211
4480,4348,목,17:30:00,18:45:00,18211
4481,4349,수,17:30:00,19:10:00,18421
4482,4350,금,13:00:00,14:40:00,18212
4483,4351,목,13:00:00,14:15:00,18523
4484,4351,목,14:30:00,15:45:00,18523
4485,4352,목,16:00:00,17:15:00,18523
4486,4352,목,17:30:00,18:45:00,18523
4487,4354,화,13:00:00,14:15:00,18418
4488,4354,화,14:30:00,15:45:00,18418
4489,4357,금,13:00:00,14:15:00,18212-1
4490,4357,금,14:30:00,15:45:00,18212-1
4491,4358,화,13:00:00,14:15:00,18307
4492,4358,화,14:30:00,15:45:00,18307
4493,4362,월,13:00:00,14:15:00,3506
4494,4362,수,13:00:00,14:15:00,3506
4495,4363,목,13:00:00,14:15:00,18520
4496,4363,목,14:30:00,15:45:00,18520
4497,4364,금,13:00:00,14:40:00,4107
4498,4366,월,11:00:00,12:15:00,18106
4499,4366,수,09:30:00,10:45:00,18106
4500,4367,월,11:00:00,12:15:00,18104
4501,4367,수,09:30:00,10:45:00,18104
4502,4368,화,11:00:00,12:15:00,18106
4503,4368,목,09:30:00,10:45:00,18106
4504,4369,월,11:00:00,12:15:00,18103
4505,4369,수,09:30:00,10:45:00,18103
4506,4370,화,09:30:00,10:45:00,18106
4507,4370,목,11:00:00,12:15:00,18106
4508,4371,월,09:30:00,10:45:00,18106
4509,4371,수,11:00:00,12:15:00,18106
4510,4372,월,09:30:00,10:45:00,18103
4511,4372,수,11:00:00,12:15:00,18103
4512,4373,월,13:00:00,14:15:00,3503
4513,4373,수,13:00:00,14:15:00,3503
4514,4374,월,13:00:00,14:15:00,18106
4515,4374,수,13:00:00,14:15:00,18106
4516,4375,월,13:00:00,14:15:00,18104
4517,4375,수,13:00:00,14:15:00,18104
4518,4376,화,09:30:00,10:45:00,18103
4519,4376,목,11:00:00,12:15:00,18103
4520,4377,화,11:00:00,12:15:00,18103
4521,4377,목,09:30:00,10:45:00,18103
4522,4378,화,11:00:00,12:15:00,3505
4523,4378,목,09:30:00,10:45:00,3505
